Blog	help	cup	world	along	finally	enjoy	hour	myself	blog	does	couple	oil	weekend	rest	almost	later	least	its	kind	during	large	read	sugar	already	yet	hand	bowl	doesn	told	salt	black	butter	free	mix	comes	bad	three	using	garlic	bring	chocolate	school	probably	anything	show	tell	yes	trying	hope	mom	turn	instead	less	saw	light	remember	taste	pepper	cooked	heat	lots	brown	weeks	store	bread	lunch	able	eating	picture	milk	ingredients	between	sunday	maybe	might	tried	pan	idea	low	leave	won	head	far	trip	nothing	kitchen	onion	perfect	oh	coming	asked	call	rice	working	dish	saturday	share	usually	warm	taking	gave	cake	oven	stir	needed	soon	check	cold	point	wonderful	must	beautiful	ice	ground	baby	egg	stop	wasn	open	friday	looked	live	breakfast	meat	watch	real	loved	believe	turned	th	serve	outside	often	soup	second	birthday	stuff	eggs	simple	bought	early	under	table	salad	chopped	pictures	yesterday	name	several	book	buy	baking	visit	party	someone	amp	delicious	meal	especially	summer	past	potatoes	cover	cups	dry	flour	couldn	wait	season	isn	line	man	guess	pieces	extra	play	looks	bake	minute	short	front	else	mixture	sometimes	either	knew	late	however	special	walk	person	bed	medium	fact	goes	juice	month	change	tomatoes	recipes	powder	amazing	felt	run	list	thinking	beans	tomato	mind	seen	inside	mean	brought	bag	four	fine	pot	clean	months	stay	seems	haven	added	taken	size	bottom	spent	completely	evening	plus	close	leaves	dad	huge	quick	above	onions	pick	ones	heart	feeling	gone	lemon	girl	anyone	watching	christmas	pour	car	means	fish	job	children	enjoyed	although	face	anyway	c	afternoon	break	middle	gets	chips	piece	busy	mother	olive	care	order	reading	corn	paper	area	playing	sliced	living	tsp	worth	coffee	excited	story	mine	potato	please	worked	super	soft	thank	local	fall	thanks	tomorrow	baked	beef	fried	box	case	pasta	group	game	husband	hands	monday	across	vanilla	spread	ate	sit	plan	roll	stick	sister	parents	finished	apple	slightly	quickly	rather	photo	tonight	hit	town	near	center	talking	vegetables	others	golden	experience	serving	remove	spring	reason	wine	heard	drink	dark	shopping	oz	interesting	fruit	served	blue	cookies	plate	dried	cute	talk	city	sitting	running	longer	sprinkle	style	spend	ended	covered	given	young	kept	aside	dessert	lost	weather	fat	etc	restaurant	picked	lovely	onto	degrees	dough	ok	amount	ask	crazy	says	x	whatever	com	prepared	money	met	starting	forward	works	five	road	god	inch	takes	filled	definitely	become	note	waiting	orange	loves	slices	pork	boil	per	pie	healthy	cinnamon	choice	door	wouldn	hear	thick	vegetable	behind	wednesday	awesome	wish	non	mixed	important	moment	seeing	simply	thursday	tea	slice	chili	photos	needs	except	smooth	deep	beat	words	roasted	boy	walking	walked	garden	ginger	recently	below	wrong	filling	teaspoon	country	pizza	frozen	seem	glass	main	girls	air	sun	flavor	move	music	drive	saying	bacon	coconut	e	sleep	park	melted	liked	dishes	lives	round	number	hold	vinegar	movie	usual	played	fast	learned	remaining	true	diced	combine	st	church	honey	woman	funny	daughter	form	market	phone	entire	color	child	mushrooms	thin	watched	homemade	word	miss	fridge	yellow	slow
Eating with Bob and Suzette	3	17	8	5	3	1	4	0	0	4	1	25	2	1	7	3	0	21	0	4	21	3	2	2	2	1	8	0	3	10	0	18	0	2	0	6	12	2	27	1	5	0	2	0	0	1	2	1	1	0	1	4	4	1	10	0	8	12	15	7	2	3	0	1	16	15	1	5	1	5	21	4	6	0	1	5	18	1	1	2	0	3	0	2	0	7	27	4	1	1	6	2	9	3	22	12	0	1	3	0	2	0	13	0	3	3	0	1	0	7	5	9	9	2	1	2	1	0	5	6	2	0	0	13	0	1	2	3	4	2	1	1	7	30	1	0	0	3	6	16	5	0	3	12	18	0	3	0	13	2	2	2	2	2	0	0	7	53	5	2	0	10	2	7	7	1	0	0	0	0	0	0	3	5	3	0	1	2	5	5	1	0	9	3	0	1	2	0	2	1	5	3	12	2	1	8	1	0	12	6	0	0	1	4	0	0	17	5	1	4	2	1	7	3	9	0	11	3	0	0	4	0	22	1	0	2	3	0	18	5	0	4	0	0	2	0	17	3	0	0	2	2	13	0	0	1	0	0	0	0	21	0	0	1	4	3	0	5	1	0	1	2	0	0	4	0	20	0	3	2	3	2	0	0	16	5	0	1	0	1	0	2	3	0	4	5	2	0	2	0	1	1	14	5	2	3	2	13	0	1	1	1	4	0	7	7	17	0	1	0	0	0	0	4	26	5	0	1	0	0	0	0	7	10	0	29	2	1	8	1	1	0	1	46	0	2	5	5	1	4	1	21	4	1	9	3	0	0	0	0	3	1	0	0	0	0	8	0	1	0	2	4	1	0	1	0	21	14	22	1	0	5	0	1	1	0	1	0	0	3	2	2	0	1	1	1	7	0	0	3	0	10	1	0	0	1	16	0	23	4	2	2	2	0	0	0	0	0	0	2	13	2	0	0	2	0	1	1	1	0	3	7	5	10	1	0	0	1	4	1	0	0	30	0	0	0	25	1	0	0	0	1	2	3	12	5	1	12	1	0	1	0	16	1	0	1	5	0	0	2	1	0	7	1	8	0	2	1	2	3	1	5	0	0	1	4	0	3	1	0	0	3	0	0	0	2	12	0	1	3	2	15	4	8	3	2	0	11	10	0
Inside the M&M	3	0	4	7	5	1	0	6	2	2	2	0	2	4	1	3	4	3	4	1	2	6	0	2	2	0	0	4	5	1	2	0	1	0	2	10	0	2	1	0	3	5	8	6	3	4	4	8	0	11	1	4	1	2	0	5	0	0	1	0	7	0	4	1	2	2	1	3	4	0	0	0	8	4	2	2	0	0	1	1	3	5	5	9	1	5	0	0	3	1	3	5	0	3	0	5	0	3	3	2	3	4	0	0	1	2	3	5	2	1	5	1	1	0	17	0	3	1	2	0	2	0	0	0	4	4	2	4	5	2	0	4	1	1	0	6	8	0	0	2	1	5	1	1	0	8	4	8	4	3	0	0	1	4	4	10	0	0	6	4	4	0	0	0	1	0	2	0	0	2	0	2	3	0	1	6	5	0	2	2	1	4	0	3	3	2	2	3	2	4	1	5	0	3	1	0	4	2	0	0	0	1	3	1	0	2	0	0	2	1	1	1	0	2	1	1	1	6	5	3	4	1	0	1	0	0	1	3	0	1	1	1	4	3	0	0	1	1	1	2	1	3	0	3	1	2	9	0	2	0	0	7	17	4	6	5	6	1	2	1	1	1	0	0	2	3	0	1	1	2	0	0	0	4	0	4	0	7	0	3	0	2	2	0	2	1	1	1	0	1	3	0	0	0	0	4	2	0	0	2	1	1	5	0	0	0	3	0	0	0	0	5	2	3	1	0	1	2	1	0	0	1	0	1	0	0	2	0	3	1	0	0	0	0	1	0	1	3	0	0	0	1	1	1	0	0	3	0	2	2	0	6	0	0	2	2	1	1	0	1	0	3	2	1	0	5	0	1	1	1	0	0	1	0	1	1	2	0	1	0	0	0	1	1	0	2	4	1	0	0	1	0	2	1	0	2	0	3	0	0	0	0	0	0	0	0	3	2	6	0	0	2	0	2	0	3	0	1	1	1	0	1	0	0	0	1	3	2	0	2	0	1	0	7	0	1	0	0	4	0	3	0	0	0	3	0	1	0	1	4	0	1	0	0	1	1	2	0	0	1	3	1	1	2	2	2	0	0	2	0	0	1	4	1	1	1	1	0	0	1	4	0	0	3	0	1	0	3	0	3	2	0	0	1	0	1	2	1	0	0
Flippa Bird	0	0	12	4	8	4	1	14	5	6	4	0	0	3	2	3	5	1	5	1	3	13	0	4	1	3	1	6	6	3	0	2	2	1	3	6	0	3	0	1	0	2	6	5	4	19	4	7	1	1	3	4	5	0	3	4	5	2	1	0	0	0	0	3	1	0	9	3	5	0	1	6	0	9	1	3	0	0	3	1	5	2	3	0	6	0	0	0	7	1	1	2	1	5	1	1	0	0	1	3	5	0	1	0	3	1	0	1	4	3	0	3	0	0	13	0	1	8	1	0	1	5	1	0	2	9	1	2	0	2	0	1	7	0	1	1	1	0	7	3	0	3	0	1	0	4	0	0	3	2	0	0	0	0	0	13	1	0	3	0	1	0	1	0	0	0	3	4	0	3	4	5	2	0	1	2	1	0	3	2	1	5	2	12	7	7	1	1	1	3	11	3	1	16	5	2	0	5	0	0	0	2	5	2	0	5	0	0	5	5	2	5	0	1	5	3	0	0	7	5	8	0	1	3	1	1	1	7	1	2	2	0	2	0	0	4	2	0	1	5	4	2	2	4	10	1	1	1	1	0	0	5	4	0	6	8	6	3	1	2	1	2	0	0	0	9	0	5	0	0	0	1	3	1	0	3	2	0	0	2	1	1	0	1	2	4	0	2	0	1	0	0	0	0	0	0	0	0	1	2	9	1	0	0	0	0	3	1	1	0	2	1	3	0	0	2	1	3	1	1	1	0	2	0	5	0	3	2	1	0	1	0	8	0	1	4	0	1	2	0	0	1	1	1	1	0	2	9	0	1	2	1	0	2	0	1	1	4	6	2	1	0	8	0	6	2	0	2	2	1	0	0	7	1	6	3	1	1	5	1	0	6	2	1	1	5	0	0	1	0	0	0	0	6	0	1	0	0	0	0	0	1	0	1	0	0	5	5	2	1	0	3	0	5	2	1	0	2	7	3	2	0	0	4	0	0	2	2	2	0	1	2	0	2	1	0	0	0	1	0	5	0	0	0	0	0	5	1	0	6	0	5	0	0	1	0	5	0	0	0	5	1	0	2	2	2	0	1	4	0	0	0	0	1	3	2	2	5	0	0	0	0	4	2	5	0	0	4	1	1	5	0	2	0	0	1	1	0	0	1
pinch me	2	0	2	6	3	0	3	5	4	0	11	0	6	0	1	3	4	2	5	5	0	4	0	7	4	3	1	1	4	0	0	0	6	0	0	2	2	2	0	0	0	0	9	4	1	3	2	1	2	0	0	4	0	5	1	1	0	0	1	2	5	0	5	8	1	4	1	1	1	0	0	5	3	10	2	2	0	2	1	2	1	3	4	0	4	3	0	0	5	0	1	2	1	0	2	5	0	0	0	3	1	0	0	0	0	4	3	2	2	0	5	5	1	0	1	1	0	5	3	4	0	8	1	0	1	2	0	2	0	2	0	2	7	3	3	0	6	1	0	4	3	7	4	0	0	3	15	5	5	1	2	0	2	2	2	0	1	3	3	2	2	0	2	0	0	0	2	1	0	2	2	5	7	0	0	0	1	0	5	1	6	1	0	0	3	1	2	0	3	9	4	2	1	1	0	0	2	1	0	0	0	0	1	6	1	1	0	0	4	6	0	1	0	1	2	2	0	0	1	0	9	5	0	4	1	0	3	0	2	0	0	0	0	12	0	1	0	1	2	1	0	2	0	0	5	1	0	0	2	0	1	1	1	1	0	0	16	4	4	3	0	2	0	0	6	0	0	1	1	0	0	3	6	1	0	2	0	2	4	0	0	1	0	1	0	1	0	0	2	3	2	0	0	1	0	0	5	0	1	0	0	0	0	0	0	0	0	2	1	0	1	0	0	2	0	3	0	3	3	4	3	1	3	0	5	0	0	0	1	1	0	1	0	0	4	0	8	2	0	2	0	0	2	0	2	1	4	2	5	1	0	0	0	0	0	3	0	1	0	1	4	0	0	1	1	7	2	1	0	1	0	0	0	0	4	1	0	2	2	0	0	0	1	1	0	1	0	1	1	0	0	6	0	1	2	2	0	1	0	0	0	1	0	0	0	1	3	0	2	0	0	1	0	3	2	0	0	0	0	2	0	0	4	0	0	9	0	3	0	0	2	2	0	0	9	2	0	0	3	0	2	1	0	0	0	0	7	0	3	0	1	4	0	0	0	1	0	0	0	3	1	4	0	0	4	0	0	4	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	2	0	1	3	5	0	1	0	1	1	1	0	0	2	2	0	1
LandOfTheLel	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Try This Yourself	0	26	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	3	0	9	0	1	0	4	0	0	11	1	10	0	4	0	0	0	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	4	0	7	0	3	0	0	0	0	0	0	0	6	1	1	0	0	0	1	2	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	6	1	8	0	0	1	0	0	0	0	0	0	0	0	3	2	0	0	0	6	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	4	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Little Kitchen	0	1	1	0	2	2	0	0	1	0	0	0	2	0	3	3	1	0	3	0	0	6	0	0	3	0	1	0	0	0	1	0	0	1	3	0	0	3	0	2	1	0	0	1	2	0	0	3	0	0	1	3	0	1	1	0	41	1	2	0	5	1	1	0	0	0	1	8	0	19	4	0	0	2	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	2	0	0	1	1	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	3	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	1	4	4	0	0	0	2	0	0	3	0	0	2	0	0	0	0	0	8	0	0	2	0	0	0	0	1	0	13	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	4	3	0	1	0	0	0	0	1	4	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	2	0	2	0	1	0	1	0	0	0	0	0	0	0	1	2	1	4	0	0	0	0	0	0	0	0	0	0	0	21	2	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	1	0	1	0	0	1	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	3	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Best Recepis	0	23	0	0	0	1	1	0	0	0	0	22	0	2	0	0	0	0	0	0	7	0	12	0	0	0	10	0	0	9	3	3	0	1	1	0	0	3	10	3	9	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	10	2	16	0	4	0	1	3	0	0	0	0	2	11	0	0	0	0	0	11	0	4	0	0	0	0	0	0	0	10	0	0	0	0	0	12	1	2	0	0	0	0	0	0	3	8	11	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	1	2	0	1	0	0	0	4	7	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	8	7	0	6	0	0	4	0	2	0	0	0	2	0	0	6	1	0	0	0	9	0	0	0	0	0	0	0	0	0	7	0	0	3	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	1	0	3	0	0	0	4	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	4	0	0	2	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	7	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	2	0	5	0	0	3	0	0	3	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	1	0	0	4	0	0	1	0	0	0	0	0	2	0	0	0	0	4	0	0	0	1	4	4	0	5	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	3	0	1	0	0	0	0	0	0	3	0	0	0	0	10	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	7	0	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0
Collage Of Life	16	12	13	5	4	9	4	7	2	4	1	13	2	7	6	5	7	24	2	36	3	1	3	1	1	8	18	3	4	18	4	2	6	25	4	2	4	7	2	1	0	7	1	1	1	1	3	3	1	1	8	1	2	4	9	9	6	2	2	6	3	5	0	1	0	1	6	6	1	9	7	6	2	2	8	1	6	2	3	5	1	3	3	2	2	5	4	1	4	3	5	3	4	1	5	0	10	0	0	4	4	0	0	2	2	3	5	1	4	3	9	5	4	2	1	0	2	1	4	0	0	8	1	0	4	2	3	3	4	2	4	0	7	1	5	0	3	0	6	0	2	6	3	0	7	1	1	6	1	1	6	0	5	1	1	21	2	6	1	3	0	6	3	2	18	13	2	3	20	5	5	9	0	5	5	3	1	0	4	3	4	1	9	3	2	0	3	6	11	3	4	2	4	7	2	2	21	7	6	5	13	2	3	1	2	1	0	3	20	4	0	1	5	1	5	2	2	2	7	4	0	0	1	1	9	1	2	2	3	0	2	19	1	3	2	2	1	1	8	9	8	3	11	0	0	1	0	5	1	7	0	3	11	3	8	12	0	2	0	1	0	3	8	3	8	14	0	10	0	1	2	13	2	4	0	4	1	0	2	0	12	0	11	6	0	0	4	4	1	3	2	2	0	0	0	3	4	0	2	1	4	9	0	3	0	1	0	2	5	6	15	0	10	0	0	1	0	1	4	0	0	0	2	2	0	8	4	6	10	2	4	2	5	0	4	4	4	4	0	3	1	1	3	0	4	0	1	0	1	0	3	1	5	0	4	0	11	6	5	1	2	0	4	1	2	12	0	0	1	0	0	8	1	7	1	0	2	0	1	0	0	7	1	2	1	2	1	3	6	4	1	3	1	3	3	2	2	0	5	0	5	18	0	9	0	2	1	2	2	4	0	11	0	0	7	2	1	16	3	0	1	0	4	1	3	0	2	1	1	5	2	10	2	3	2	1	1	2	1	5	0	0	0	4	4	0	0	7	1	0	1	2	1	2	31	4	2	0	12	3	3	0	0	1	2	8	10	1	2	0	1	4	3	10	0	2	4	0	1	1	0	4	5	0	15	8	5	2	3	12	19	0	3	0	2	5	3	0	1	1
The Tiny Skillet	2	15	1	1	0	2	1	3	7	4	1	14	2	1	1	1	2	0	1	0	3	0	13	3	2	3	2	6	2	6	0	13	0	2	2	3	0	2	2	4	0	5	3	3	0	1	0	4	1	7	1	4	1	0	1	1	7	2	0	8	0	13	1	4	7	0	1	0	0	1	6	0	4	5	0	3	7	2	4	3	3	0	2	0	1	3	3	1	3	0	1	2	11	0	7	0	1	3	1	0	1	2	6	5	1	0	0	3	1	2	1	0	3	4	0	1	0	2	1	1	1	1	1	0	0	0	1	0	0	0	5	0	1	0	0	0	1	5	0	4	0	1	0	0	2	1	1	0	2	0	1	4	1	0	0	1	0	1	0	3	1	0	4	4	10	4	2	0	0	1	0	0	0	2	2	2	2	9	1	0	0	0	6	1	1	0	1	1	0	1	0	0	3	1	1	5	1	1	1	10	3	0	0	0	0	0	14	0	1	1	0	1	0	0	0	2	3	1	1	2	2	1	6	0	3	1	0	2	0	1	1	1	7	0	4	0	2	0	3	0	0	1	5	0	0	0	0	0	0	0	1	0	0	1	1	1	3	1	0	0	0	1	0	0	2	0	2	2	0	1	0	1	1	0	2	2	7	1	1	1	0	2	1	0	1	0	2	0	1	2	2	1	4	0	1	0	0	1	0	0	3	0	1	2	0	2	2	0	0	4	2	0	1	0	5	2	0	1	2	0	0	3	1	2	0	0	0	4	0	0	2	3	1	1	0	0	2	1	3	0	4	2	0	0	1	3	0	1	0	0	0	1	4	0	1	1	0	0	0	1	0	0	0	2	0	3	0	2	1	0	3	3	1	3	0	0	1	1	2	0	1	0	0	2	0	0	1	0	0	0	1	0	0	1	0	1	2	0	2	5	3	0	1	0	4	0	1	1	2	1	0	1	1	0	2	0	2	1	0	0	0	0	0	2	9	6	0	1	1	0	0	0	5	0	0	0	2	18	0	0	0	3	4	0	6	4	0	0	0	0	2	0	4	0	0	0	0	0	2	0	0	0	3	3	4	0	2	0	0	2	0	0	0	0	1	0	1	3	1	0	0	1	0	0	1	1	4	0	0	1	0	0	2	0	2	0	0	0	0	0
Sisterhood of the Traveling Recipes	0	19	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	1	0	7	0	0	0	9	0	0	4	2	6	1	9	0	0	0	0	4	1	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	8	2	1	0	2	0	1	2	0	0	0	0	1	4	0	0	0	0	0	7	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	6	2	3	1	0	0	1	0	0	0	0	0	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	3	9	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	1	12	0	4	0	0	2	0	1	0	0	2	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	3	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	4	0	0	6	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	3	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	1	0	3	2	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LIFE STYLE	0	22	0	0	0	2	3	0	1	0	0	7	0	0	0	0	1	0	0	1	10	0	5	0	0	0	8	0	0	8	5	2	0	6	2	0	1	2	7	2	10	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	3	5	5	12	0	5	0	0	0	1	0	0	0	10	7	2	0	0	1	0	10	0	2	2	0	1	1	0	0	0	9	0	0	0	0	0	11	0	7	0	0	3	3	0	0	16	6	4	1	0	0	1	0	1	0	0	3	1	1	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	5	0	0	0	0	0	0	8	0	0	0	0	0	5	4	0	0	1	0	0	0	2	0	0	0	11	2	0	0	0	0	0	4	4	0	7	1	0	2	0	5	0	0	6	0	0	1	8	1	1	0	0	5	0	0	0	0	0	0	0	0	0	5	0	0	8	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	3	2	0	3	0	0	0	0	0	0	2	1	0	3	0	0	0	6	0	0	0	1	1	0	1	1	0	0	0	1	0	1	0	6	0	0	5	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	2	0	0	0	1	2	1	0	4	0	1	0	0	0	0	1	0	0	0	1	0	0	0	5	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	1	4	0	0	1	0	0	2	0	3	0	0	1	2	5	2	6	0	0	0	0	0	0	0	2	0	0	1	0	0	0	5	1	0	0	0	0	0	0	1	0	3	4	0	0	1	0	0	1	1	10	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	2	2	0	9	1	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	6	4	1	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	1	2	0	0	1	0	0	0	0	9	5	3	0	0	1	0	0	0	1	0	1	5	0	0	0	0	0	5	0	0	2	1	0	2	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	3	0
